Brand	Score	Cost	Calories	Fat	Type
Freshetta4Cheese	89	0.98	364	15	1
Freschetta_stuffed_crust	86	1.23	334	11	1
DiGiorno	85	0.94	332	12	1
Amy_organic	81	1.92	341	14	1
Safeway	80	0.84	307	9	1
Tony	79	0.96	335	12	1
Kroger	75	0.80	292	9	1
Tombstone_stuffed_crust	75	0.96	364	18	1
Red_Baron	73	0.91	384	20	1
Bobli	67	0.89	333	12	1
Tombstone_extra_cheese	60	0.94	328	14	1
Reggio	55	1.02	367	13	1
Jack	51	0.92	325	13	1
Celeste	50	1.17	346	17	1
McCain_Ellio	46	0.54	299	9	1
Michelina	45	1.28	394	19	1
Totino	25	0.67	322	14	1
Freschetta_pepperoni	89	0.96	385	18	0
DiGiorno_pepperoni	85	0.88	369	16	0
Tombstone_stuffed_crust_pepperoni	80	0.90	400	22	0
Tombstone_pepperoni	73	0.88	378	20	0
Red_Baron_pepperoni	64	0.89	400	23	0
Tony_pepperoni	60	0.87	410	26	0
Red_Baron_deep_dish_pepperoni	55	1.28	412	25	0
Stouffer_pepperoni	54	1.26	343	14	0
Weight_Watchers_pepperoni	33	1.51	283	6	0
Jeno_pepperoni	22	0.74	372	20	0
Totino_pepperoni	20	0.64	367	20	0
Healthy_Choice_pepperoni	15	1.62	280	4	0
